,Mean,Median,Min,Max,MinIdx,MaxIdx,StdDev,Total Steps
value_y,1.7319444444444445,0.0,0.0,92.0,0 days 00:00:00,0 days 07:33:00,7.413177351195293,2494.0
value_x,3.6083333333333334,0.0,0.0,119.0,0 days 00:00:00,0 days 18:43:00,12.98743445748052,5196.0
value_y,7.348611111111111,0.0,0.0,122.0,0 days 00:00:00,0 days 12:53:00,19.640214117425856,10582.0
value_x,3.9805555555555556,0.0,0.0,116.0,0 days 00:00:00,0 days 19:12:00,12.489813933307488,5732.0
value_y,3.513888888888889,0.0,0.0,114.0,0 days 00:00:00,0 days 12:14:00,12.739047734977646,5060.0
value_x,4.5,0.0,0.0,95.0,0 days 00:00:00,0 days 14:52:00,13.272626451672735,6480.0
value_y,3.6909722222222223,0.0,0.0,116.0,0 days 00:00:00,0 days 21:37:00,12.802055370476584,5315.0
value_x,4.718055555555556,0.0,0.0,117.0,0 days 00:00:00,0 days 12:49:00,14.553477397074372,6794.0
value_y,4.7972222222222225,0.0,0.0,82.0,0 days 00:00:00,0 days 13:08:00,12.35452636380699,6908.0
value_x,7.602083333333334,0.0,0.0,113.0,0 days 00:00:00,0 days 07:14:00,15.664414013945047,10947.0
value_y,6.168055555555555,0.0,0.0,112.0,0 days 00:01:00,0 days 06:59:00,15.177781998834307,8882.0
value_x,4.483333333333333,0.0,0.0,85.0,0 days 00:00:00,0 days 17:45:00,11.988748489334249,6456.0
value_y,5.248611111111111,0.0,0.0,103.0,0 days 00:00:00,0 days 07:09:00,14.42911785688997,7558.0
value_x,5.4527777777777775,0.0,0.0,107.0,0 days 00:00:00,0 days 07:08:00,13.958759591955026,7852.0
value_y,4.160416666666666,0.0,0.0,85.0,0 days 00:00:00,0 days 07:30:00,11.923544479742139,5991.0
value_x,2.8381944444444445,0.0,0.0,96.0,0 days 00:00:00,0 days 10:22:00,9.95204971207171,4087.0
value_y,4.919444444444444,0.0,0.0,101.0,0 days 00:00:00,0 days 09:25:00,12.874674019245901,7084.0
value_x,5.4222222222222225,0.0,0.0,110.0,0 days 00:00:00,0 days 14:47:00,14.380061308305976,7808.0
